date,driving,walking,transit
2020-12-16,5840.27,5635.98,1836.97
2020-12-17,6148.38,5888.39,1868.38
2020-12-18,6785.37,6419.29,1950.73
2020-12-19,6187.54,5845.53,1741.54
2020-12-20,5395.24,4862.94,1596.48
2020-12-21,6033.98,5802.53,1744.73
2020-12-22,6235.75,5939.49,1722.42
2020-12-23,6177.91,5764.92,1551.74
2020-12-24,5029.16,4637.73,1120.94
2020-12-25,4718.77,4237.54,1200.93
2020-12-26,5393.98,4850.47,1389.29
2020-12-27,5353.48,4680.16,1458.57
2020-12-28,5885.98,5537.39,1651.57
2020-12-29,6156.04,5789.3,1641.92
2020-12-30,6237.86,5827.29,1583.41
2020-12-31,5743.71,5877.16,1383.46
2021-01-01,4691.61,4323.33,1208.63
2021-01-02,5740.24,5158.46,1478.84
2021-01-03,5499.97,4908.7,1593.72
2021-01-04,5535.79,5354.44,1711.24
2021-01-05,5514.14,5371.72,1655.89
2021-01-06,5360.63,5160.38,1611.39
2021-01-07,5481.97,5289.9,1641.79
2021-01-08,5873.9,5609.85,1702.65
2021-01-09,5578.14,5349.83,1569.21
2021-01-10,5156.16,4737.84,1629.42
2021-01-11,5282.46,5186.43,1725.25
2021-01-12,5331.29,5261.39,1739.44
2021-01-13,5307.44,5259.87,1734.92
2021-01-14,5410.59,5259.28,1739.24
2021-01-15,5785.95,5582.67,1782.05
2021-01-16,5435.49,5330.03,1654.4
2021-01-17,4956.27,4662.27,1637.67
2021-01-18,5176.35,5154.35,1776.53
2021-01-19,5229.76,5187.82,1770.57
2021-01-20,5288.93,5234.39,1765.64
2021-01-21,5423.87,5359.69,1765.45
2021-01-22,5854.21,5751.73,1806.49
2021-01-23,5544.46,5552.55,1691.23
2021-01-24,5065.67,4777.37,1636
2021-01-25,5254.85,5225.83,1747.8
2021-01-26,5323.22,5315.14,1783.94
2021-01-27,5360.62,5311.31,1785.74
2021-01-28,5493.84,5381.84,1784
2021-01-29,5949.52,5755.59,1863.88
2021-01-30,5605.07,5545.41,1732.05
2021-01-31,5140.98,4826.81,1710.07
2021-02-01,5342.44,5335.62,1848.91
2021-02-02,5405.37,5419.49,1848.4
2021-02-03,5488.44,5480.45,1842.14
2021-02-04,5652.32,5617.75,1872.15
2021-02-05,6188.8,6107.75,1946.36
2021-02-06,5841.87,5846.86,1799.15
2021-02-07,5234.58,4835.77,1736.61
2021-02-08,5433.57,5348.88,1883.45
2021-02-09,5492.08,5456.99,1866.94
2021-02-10,5593.26,5531.03,1869.92
2021-02-11,5736.63,5448.48,1841.55
2021-02-12,6313.93,5968.96,1909.86
2021-02-13,6131.92,5967.53,1850.92
2021-02-14,5716.68,5419.69,1776.38
2021-02-15,5481.25,5398.02,1848.75
2021-02-16,5472.71,5442.01,1893.31
2021-02-17,5580.14,5510.9,1939.67
2021-02-18,5840.79,5745.91,1941.02
2021-02-19,6356.82,6210.54,2051.53
2021-02-20,6210.38,6257.65,1951.45
2021-02-21,5635.9,5447.75,1885.38
2021-02-22,5621.13,5814.67,2003.81
2021-02-23,5679.23,5831.08,1987.22
2021-02-24,5827.23,5948.46,2018.62
2021-02-25,6076.39,6112.55,2010.14
2021-02-26,6671.7,6666.47,2114.31
2021-02-27,6397.95,6491.15,1975.2
2021-02-28,5808.21,5603.3,1919.98
2021-03-01,5638.08,5816.86,1954.43
2021-03-02,5714.06,5969.88,1951.58
2021-03-03,5809.9,6034.32,1951.1
2021-03-04,5950.9,6007.26,1948.55
2021-03-05,6565.26,6587.46,2054.28
2021-03-06,6349.28,6472.25,1941.75
2021-03-07,5597.79,5415.17,1806.89
2021-03-08,5663.14,5785.89,1900.83
2021-03-09,5656.17,5745.94,1926.46
2021-03-10,5790.47,5788.48,1929.37
2021-03-11,5905.38,5819.37,1939.84
2021-03-12,0,0,0
2021-03-13,6317.89,6385.15,1894.72
2021-03-14,5542.34,5271.11,1825.28
2021-03-15,5667.41,5671.29,1922.1
2021-03-16,5748.15,5775.03,1944.41
2021-03-17,5833.81,5849.1,1944.57
2021-03-18,6008.74,5963.09,1945.41
2021-03-19,6631.56,6496.7,2032.56
2021-03-20,6310.56,6331.42,1883.52
2021-03-21,5554.95,5239.96,1760.33
2021-03-22,5625.09,5649.43,1883.8
2021-03-23,5753.83,5846.6,1916.12
2021-03-24,5821.37,5839.18,1906.5
2021-03-25,6034.21,6049.33,1938.71
2021-03-26,6702.58,6705.33,2055.14
2021-03-27,6451.74,6538.7,1912.65
2021-03-28,5687.79,5466.65,1828.82
2021-03-29,5918.35,6023.5,1970.23
2021-03-30,6157.46,6338.64,2052.17
2021-03-31,6484.52,6493.5,2082
2021-04-01,6674.9,6559.91,2038.35
2021-04-02,6521.76,6453.07,1978.38
2021-04-03,6132.9,6168.23,1823.65
2021-04-04,5580.44,5326.93,1721.42
2021-04-05,5919.41,5691.29,1916.65
2021-04-06,6049.56,5977.68,1994.91
2021-04-07,6083.42,6022.33,1997.87
2021-04-08,6303.2,6249.71,2002.05
2021-04-09,6813.18,6741.6,2077.76
2021-04-10,6507.11,6526.28,1946.57
2021-04-11,5996.98,5672.58,1907.64
2021-04-12,5940.2,5933.58,2009.24
2021-04-13,5735.63,5703.08,1989.41
2021-04-14,5875.28,5941.98,2014.07
2021-04-15,5990.46,5970.22,2025.75
2021-04-16,6462.76,6437.56,2142.65
2021-04-17,6168.46,6401.01,2040.06
2021-04-18,5661.25,5466.73,1963.95
2021-04-19,5763.73,5797.51,2058.05
2021-04-20,5942.35,6031.71,2076.67
2021-04-21,5998.66,6023.63,2056.51
2021-04-22,6157.26,6098.78,2098.58
2021-04-23,6653.18,6599.52,2266.3
2021-04-24,6357.01,6583.95,2147.65
2021-04-25,5791.84,5501.8,1993.79
2021-04-26,5862.32,5835.22,2120.15
2021-04-27,6010.46,5945.44,2117.88
2021-04-28,6214.97,6115.42,2128.02
2021-04-29,6587.15,6334.53,2172.74
2021-04-30,7111.26,6865.38,2327.25
2021-05-01,6559.04,6579.43,2136.77
2021-05-02,6111.99,5669.8,2149.73
2021-05-03,6242.99,5995.45,2248.66
2021-05-04,6242.63,6128.87,2183.13
2021-05-05,6261.69,6129.08,2172.67
2021-05-06,6404.82,6286.75,2201.38
2021-05-07,7076.54,6908.28,2377.76
2021-05-08,6866.51,7011.72,2239.95
2021-05-09,6446.12,6095.75,2105.89
2021-05-10,6356.75,6405.55,2261.16
2021-05-11,6465.5,6550.96,2287.07
2021-05-12,6669.47,6553.47,2299.54
2021-05-13,6660.69,6592.12,2263.05
2021-05-14,7526.87,7643.51,2423
2021-05-15,7156.14,7391.28,2233.18
2021-05-16,6723.48,6084.02,2147.76
2021-05-17,6449.53,6311.33,2214.86
2021-05-18,6655.65,6563.54,2247.45
2021-05-19,6690.09,6618.5,2301.19
2021-05-20,6898.87,6794.03,2306.63
2021-05-21,7678.27,7476.47,2458.53
2021-05-22,7261.08,7476.56,2299.43
2021-05-23,6651.39,6263.19,2106.63
2021-05-24,6761.39,6596.31,2276.11
2021-05-25,6815.5,6755.71,2356.36
2021-05-26,6877.57,6840.97,2328.04
2021-05-27,7091.58,7065.09,2363.04
2021-05-28,7922.73,7914.22,2539.26
2021-05-29,7570.58,7947.14,2439.21
2021-05-30,7096.56,6640.49,2335.49
2021-05-31,7000.22,7097.38,2491.03
2021-06-01,7170.73,7352.81,2525.69
2021-06-02,7468.46,7530.6,2557.05
2021-06-03,7671.36,7818.5,2604.71
2021-06-04,8383.9,8542.02,2728.07
2021-06-05,8148.44,8477.61,2604.03
2021-06-06,7707.91,6925.57,2486.57
2021-06-07,7262.68,7391.4,2626.8
2021-06-08,7380.2,7534.77,2668.63
2021-06-09,7573.83,7668.11,2746.01
2021-06-10,7834.28,7941.91,2778.31
2021-06-11,8649.96,8669.56,2924.1
2021-06-12,8303.15,8568.51,2689.16
2021-06-13,7755.55,7091.54,2620.51
2021-06-14,7570.08,7693.75,2785.31
2021-06-15,7706.37,7889.24,2858
2021-06-16,7911.53,8050.27,2871.28
2021-06-17,8174.84,8238.36,2893.4
2021-06-18,9136.5,8981.29,3036.37
2021-06-19,8742.11,8796.98,2801.36
2021-06-20,8147.94,7297.51,2693.26
2021-06-21,7991.29,8016.01,2943.41
2021-06-22,8094.76,8140.67,2889.1
2021-06-23,8165.62,8154.57,2840.95
2021-06-24,8521.56,8286.51,2865.44
2021-06-25,9336.08,9094.87,2968.7
2021-06-26,8941.72,9016.66,2835.41
2021-06-27,8577.89,7611.81,2805.38
2021-06-28,8261.98,8317.99,2993.06
2021-06-29,8338.39,8463.44,3005.41
2021-06-30,8753.86,8746.57,3093
2021-07-01,9051.53,9066.3,3135.48
2021-07-02,9894.55,9795.18,3233.2
2021-07-03,9631.73,9746.06,3033.16
2021-07-04,9270.06,8477.44,2943.82
2021-07-05,9082.28,9372.12,3177.8
2021-07-06,8978.77,9348.19,3170.13
2021-07-07,9131.03,9512.86,3192.65
2021-07-08,9487.65,9627.3,3150.97
2021-07-09,10467.14,10387.18,3217.06
2021-07-10,10268.52,10311.98,3034.53
2021-07-11,9458,8727.57,2944.8
2021-07-12,9352.14,9555.33,3122.16
2021-07-13,9383.14,9679.42,3131.94
2021-07-14,9745.4,9815.72,3190.92
2021-07-15,10083.18,10025.27,3180.41
2021-07-16,10971.96,10656.74,3251.52
2021-07-17,10826.37,10637.75,3130.66
2021-07-18,10117.18,9163.43,3002.2
2021-07-19,9747.23,10147.8,3138.69
2021-07-20,9671.66,10115.65,3143.04
2021-07-21,10077.61,10437.62,3202.86
2021-07-22,10444.88,10746.19,3173.32
2021-07-23,11274.8,11186.7,3188.1
2021-07-24,11105.84,10886.63,2955.48
2021-07-25,10451.48,9577.03,2887.69
2021-07-26,10156.73,10654.86,3095.2
2021-07-27,9973.26,10574.48,3095.29
2021-07-28,10116.56,10478.43,3082.41
2021-07-29,10450.68,10641.46,3082.8
2021-07-30,11624.12,11074.4,3143.82
2021-07-31,11755.18,11146.59,2937.77
2021-08-01,10817.51,9893.07,2913.07
2021-08-02,10356.2,10994.19,3131.7
2021-08-03,10254.55,11221.33,3188.93
2021-08-04,10411.78,11220.44,3203.59
2021-08-05,10781.62,11388.66,3157.64
2021-08-06,11767.78,11952.91,3245.81
2021-08-07,11595.61,11709.21,3041.64
2021-08-08,10690.78,10284.97,3019.41
2021-08-09,10484.03,11376.16,3272.5
2021-08-10,10420.29,11558.36,3323.48
2021-08-11,10537.3,11512.17,3322.07
2021-08-12,10866.3,11590.78,3300.5
2021-08-13,11827.95,12269.89,3380.86
2021-08-14,11759.69,12316.6,3207.3
2021-08-15,10725.88,10510.58,3136.72
2021-08-16,10371.3,11329.56,3348.45
2021-08-17,10109.4,11506.88,3311.82
2021-08-18,10148.44,11467.37,3320.33
2021-08-19,10464.69,11564.72,3308.02
2021-08-20,11499.25,12212.95,3441.08
2021-08-21,11184.32,11886.26,3231.7
2021-08-22,10265.93,10106.01,3140.95
2021-08-23,9814.39,10982.36,3393.79
2021-08-24,9615.37,11022.69,3405.14
2021-08-25,9759.4,10969.78,3413.26
2021-08-26,9930.51,10785.6,3392.95
2021-08-27,10980.26,11599.4,3514.22
2021-08-28,10399.34,11270.73,3305.34
2021-08-29,9416.43,9487.5,3211.67
2021-08-30,9023.18,10258.08,3515.59
2021-08-31,8993.67,10553.06,3620.24
2021-09-01,8969.66,10703,3648.74
2021-09-02,9195.83,10769.47,3669.94
2021-09-03,10218.31,11531.75,3759.08
2021-09-04,10011.39,11623.29,3538.65
2021-09-05,9218.92,9823.2,3459.64
2021-09-06,8688.64,10224.07,3653.77
2021-09-07,8662.01,10351.79,3659.02
2021-09-08,8834.71,10504.01,3720.92
2021-09-09,9054.25,10621.19,3711.43
2021-09-10,10061.13,11532.65,3925.37
2021-09-11,9639.63,11409.81,3644.23
2021-09-12,8757.17,9215.22,3381.67
2021-09-13,8221.66,9707.75,3603.69
2021-09-14,8286.9,9742.32,3610.19
2021-09-15,8425.02,9814.94,3664.41
2021-09-16,8646.36,9961.06,3683.5
2021-09-17,9630.11,10845.35,3918.58
2021-09-18,9305.16,10900.47,3684.91
2021-09-19,8526.94,8875.33,3488.52
2021-09-20,8356.06,9727.12,3764.57
2021-09-21,8659.75,10154.3,3887.14
2021-09-22,8630.8,9999.25,3848.05
2021-09-23,8841,10185.23,3829.4
2021-09-24,9802.94,11236.58,4082.13
2021-09-25,9646.08,11699.79,3959.94
2021-09-26,8816.8,9472,3555.06
2021-09-27,8114.67,9571.77,3665.1
2021-09-28,8151.5,9557.87,3662.05
2021-09-29,8360.04,9665.23,3689.33
2021-09-30,8678.32,10065.54,3815.04
2021-10-01,9725.34,11342.05,4139.98
2021-10-02,9478.33,11539.8,3888.92
2021-10-03,8631.37,9323.71,3534.56
2021-10-04,7861.35,9607.43,3632.69
2021-10-05,8147.61,9593.51,3704.25
2021-10-06,8317.6,9643.25,3750.3
2021-10-07,8614.02,9949.23,3810.97
2021-10-08,9696.26,11164.69,4145.85
2021-10-09,9493.56,11537.27,3921.97
2021-10-10,8617.11,9219.69,3561.92
2021-10-11,8125.45,9473.77,3614.4
2021-10-12,8130.45,9372.92,3599.59
